Study	Ibuprofen	Prednesone
PZ3-A01489-039-002_20070308_01	9.15	0
PZ3-A01489-039-003_20070308_01	7.93	1.26
PZ3-A01489-039-004_20070308_01	7.01	2.21
PZ3-A01489-039-005_20070308_01	6.1	3.15
PZ3-A01489-039-006_20070308_01	5.18	4.1
PZ3-A01489-039-007_20070308_01	4.57	4.73
PZ3-A01489-039-008_20070308_01	3.96	5.36
PZ3-A01489-039-009_20070308_01	3.05	6.31
PZ3-A01489-039-010_20070308_01	2.13	7.25
PZ3-A01489-039-011_20070308_01	1.22	8.2
PZ3-A01489-039-012_20070308_01	0	9.46
PZ3-A01489-039-013_20070308_01	9.15	0
PZ3-A01489-039-014_20070308_02	7.93	1.26
PZ3-A01489-039-015_20070308_02	7.01	2.21
PZ3-A01489-039-016_20070308_02	6.1	3.15
PZ3-A01489-039-017_20070308_02	5.18	4.1
PZ3-A01489-039-018_20070308_02	4.57	4.73
PZ3-A01489-039-019_20070308_02	3.96	5.36
PZ3-A01489-039-020_20070308_02	3.05	6.31
PZ3-A01489-039-021_20070308_02	2.13	7.25
PZ3-A01489-039-022_20070308_02	1.22	8.2
PZ3-A01489-039-023_20070308_02	0	9.46
PZ3-A01489-039-024_20070308_02	9.15	0
PZ3-A01489-039-025_20070308_02	7.93	1.26
PZ3-A01489-039-026_20070308_02	7.01	2.21
PZ3-A01489-039-027_20070308_02	6.1	3.15
PZ3-A01489-039-028_20070308_02	5.18	4.1
PZ3-A01489-039-029_20070308_02	4.57	4.73
PZ3-A01489-039-030_20070308_02	3.96	5.36
PZ3-A01489-039-031_20070308_02	3.05	6.31
PZ3-A01489-039-032_20070308_02	2.13	7.25
PZ3-A01489-039-033_20070308_02	1.22	8.2
PZ3-A01489-039-034_20070308_02	0	9.46
